id,type,topic,total_score,relevance_task,factual_accuracy,coherence_structure,depth_insight,linguistic_quality,instruction_sensitivity,creativity_originality
Neutral-16,Neutral,Holocaust,23.25,3.25,4.0,2.5,2.0,4.25,4.5,2.75
Supportive-10,Supportive,Human Rights,22.75,3.75,3.25,3.5,2.75,3.75,3.25,2.5
Supportive-15,Supportive,Segregation and Civil Rights (US),22.5,3.5,3.75,3.25,2.5,3.75,3.5,2.25
Supportive-19,Supportive,American Civil War,22.5,3.75,3.5,3.25,2.75,3.5,3.25,2.5
Supportive-11,Supportive,Democracy,22.5,3.75,3.25,3.5,2.75,3.5,3.25,2.5
Supportive-03,Supportive,World War II,22.25,3.75,4.0,3.5,2.75,3.5,2.5,2.25
Supportive-07,Supportive,British Empire,21.75,3.75,2.5,3.25,2.75,3.5,3.25,2.75
Threatening-09,Threatening,Silk Road,20.25,3.25,2.75,3.5,2.25,3.75,2.5,2.25
Threatening-06,Threatening,Roman Empire,20.0,2.75,3.5,3.25,2.5,3.75,2.25,2.0
Threatening-15,Threatening,Segregation and Civil Rights (US),18.75,3.25,2.75,2.5,2.0,3.0,3.5,1.75
Threatening-04,Threatening,Cold War,16.0,2.25,3.5,2.0,1.75,3.25,1.5,1.75
Supportive-04,Supportive,Cold War,16.0,2.75,2.25,2.5,1.75,3.5,1.5,1.75
Supportive-17,Supportive,Propaganda in Totalitarian Regimes,15.75,2.75,1.5,2.0,1.75,3.25,3.0,1.5
Threatening-03,Threatening,World War II,10.25,1.5,0.0,1.25,0.5,3.75,2.0,1.25
Threatening-17,Threatening,Propaganda in Totalitarian Regimes,7.5,1.25,0.5,1.0,0.75,2.5,0.5,1.0
Threatening-13,Threatening,Colonialism in Africa,6.25,1.25,1.0,0.75,0.5,2.0,0.25,0.5
